hour_of_day,is_weekend,is_night_transaction,country,city,merchant_category,payment_method,device_type,customer_age,credit_score,account_age_years,account_balance,transaction_amount,num_prev_transactions,transaction_freq_monthly,distance_from_home_km,time_since_last_txn_hrs,is_international,failed_attempts,pin_changed_recently,is_fraud
20,0,0,Japan,Mexico City,Fuel,Debit Card,Mobile,27,609,2.4,11990.81,154.22,117,18,12.7,11.25,0,3,0,1
8,0,0,France,Berlin,Travel,Debit Card,Desktop,23,640,11.1,37169.81,294.85,166,22,12.3,4.53,0,0,0,0
18,0,0,UK,Melbourne,Healthcare,Credit Card,ATM,48,815,2.1,6283.17,35.3,140,20,7.7,28.23,0,2,0,0
7,0,0,Japan,Los Angeles,Crypto Exchange,Credit Card,POS Terminal,51,842,2.5,367.68,37.69,173,19,26.3,20.18,0,0,0,0
23,0,1,Germany,Paris,ATM Withdrawal,Debit Card,Mobile,53,793,4.5,13754.09,137.37,156,15,18.3,66.74,0,0,0,0
5,1,1,USA,Sydney,Clothing,Credit Card,ATM,67,514,0.6,4149.2,15.88,164,22,4.1,34.19,1,0,0,0
19,0,0,India,Lyon,Crypto Exchange,Credit Card,Mobile,51,804,1.4,569.27,40.62,142,22,0.5,8.77,0,3,0,0
4,1,1,Canada,Toronto,Travel,Debit Card,Mobile,19,732,4.2,18148.07,388.38,143,23,3.3,19.01,0,0,0,0
16,0,0,USA,New York,Healthcare,Debit Card,Mobile,36,692,1.9,20954.68,54.63,155,20,4.5,9.47,0,0,0,0
15,0,0,India,Delhi,Electronics,Crypto,Tablet,53,673,2.7,19854.32,585.08,140,23,0.4,25.46,1,0,0,0
0,1,1,UK,Manchester,Grocery,Debit Card,Mobile,41,850,6.1,9677.04,67.81,125,24,14.9,24.19,0,0,0,0
7,1,0,Brazil,Guadalajara,Gaming,Debit Card,Tablet,18,758,2.8,6872.11,25.11,164,15,4.0,14.08,0,0,0,0
18,1,0,UK,Toronto,Crypto Exchange,Mobile Payment,Tablet,53,589,4.1,9633.15,36.92,123,18,23.8,27.05,0,0,0,0
20,0,0,Germany,Tokyo,Utilities,Debit Card,Mobile,39,783,3.4,1297.25,85.43,138,23,9.6,17.88,0,0,0,0
16,1,0,USA,New York,Gaming,Credit Card,Mobile,27,625,4.6,2000.71,68.64,158,19,13.2,36.85,0,0,0,0
19,0,0,France,Tokyo,Healthcare,Credit Card,ATM,56,775,0.5,21189.28,44.98,146,24,37.9,12.06,0,0,0,0
16,0,0,India,London,Jewelry,Cheque,Tablet,36,742,0.2,8218.83,293.94,140,8,8.7,32.02,0,1,0,0
16,1,0,USA,Toronto,Travel,Credit Card,Mobile,70,772,6.6,24377.02,465.09,147,25,51.3,44.72,0,0,0,0
1,0,1,Brazil,Mexico City,Education,Credit Card,Mobile,25,708,11.6,16796.16,20.61,161,24,20.3,10.22,0,0,0,0
11,0,0,USA,Melbourne,Fuel,Bank Transfer,Desktop,29,850,7.0,2265.23,27.59,174,18,56.1,6.85,0,0,0,0
10,0,0,Germany,Sydney,Utilities,Bank Transfer,POS Terminal,25,744,17.6,10517.49,103.76,164,25,40.6,9.73,0,0,0,0
22,0,1,France,São Paulo,ATM Withdrawal,Mobile Payment,Mobile,24,747,2.4,3613.47,49.65,132,16,0.3,11.57,1,0,0,0
12,0,0,UK,Melbourne,Gaming,Crypto,Tablet,66,704,5.7,11783.68,46.29,139,21,27.9,23.32,0,4,0,0
13,1,0,Brazil,Toronto,Healthcare,Debit Card,POS Terminal,44,694,0.6,7266.48,55.65,153,21,8.7,1.63,0,0,0,0
11,0,0,Brazil,Los Angeles,Education,Credit Card,Desktop,45,641,3.3,33224.25,174.5,150,17,32.6,7.23,0,1,0,0
16,0,0,USA,Paris,Online Shopping,Bank Transfer,Mobile,52,535,5.7,23162.11,50.61,139,25,6.0,4.8,0,0,0,0
18,0,0,USA,São Paulo,Online Shopping,Credit Card,Mobile,27,744,5.3,3525.11,36.12,164,25,4.9,8.28,0,0,0,0
13,0,0,India,Paris,Electronics,Debit Card,Mobile,45,564,0.3,2680.24,323.95,123,19,5.0,4.76,0,0,0,0
0,0,1,Canada,Mexico City,Grocery,Credit Card,Mobile,50,765,3.2,17613.8,58.85,169,26,4.4,20.8,0,1,0,0
6,0,1,France,Osaka,Utilities,Cheque,ATM,30,642,4.2,5370.03,25.84,155,16,75.2,12.05,1,1,0,1
23,1,1,Australia,Mumbai,Entertainment,Debit Card,Mobile,60,750,0.5,483.61,23.68,148,17,15.6,5.3,0,0,0,0
3,0,1,India,Toronto,Utilities,Crypto,Desktop,60,612,0.1,12843.93,12.75,141,22,10.2,7.18,0,0,0,0
16,0,0,USA,São Paulo,Online Shopping,Credit Card,Mobile,50,678,3.8,5768.45,118.1,139,14,10.4,24.63,0,0,0,0
16,0,0,USA,Osaka,Utilities,Bank Transfer,Mobile,38,640,2.8,1863.46,118.63,149,22,2.1,17.08,0,0,0,0
23,1,1,France,Munich,Jewelry,Bank Transfer,Tablet,46,590,9.4,6203.88,203.43,133,20,30.8,2.18,0,0,1,0
17,0,0,USA,Guadalajara,Travel,Debit Card,ATM,24,645,2.5,22517.04,210.56,145,18,21.4,1.03,0,2,0,0
1,0,1,USA,Guadalajara,Electronics,Bank Transfer,Tablet,49,843,30.0,2602.06,1132.71,164,13,25.8,6.75,0,0,0,0
9,0,0,UK,Paris,Education,Credit Card,POS Terminal,58,584,1.6,9559.01,44.66,160,24,22.7,4.15,0,0,0,0
2,0,1,USA,Paris,Entertainment,Mobile Payment,Desktop,18,653,4.4,7938.1,20.21,145,23,2.0,12.99,0,0,0,0
5,0,1,Mexico,Munich,Restaurant,Mobile Payment,Mobile,54,604,5.4,9625.25,140.24,157,22,7.2,3.14,1,0,0,0
18,0,0,India,Sydney,ATM Withdrawal,Credit Card,Mobile,24,718,2.7,5455.33,31.82,165,14,30.8,3.85,0,0,0,0
8,1,0,Canada,Vancouver,ATM Withdrawal,Cheque,Desktop,63,688,9.5,94747.69,29.49,139,28,46.7,6.13,1,0,0,0
3,0,1,UK,Melbourne,Crypto Exchange,Mobile Payment,Tablet,55,681,1.3,16608.17,11.94,141,18,21.6,5.16,0,1,0,0
8,0,0,Germany,Paris,Entertainment,Crypto,POS Terminal,45,709,6.2,2240.41,106.83,150,22,20.3,8.22,0,1,0,0
4,0,1,Canada,Mexico City,Travel,Credit Card,Desktop,62,783,2.0,14713.05,528.3,149,19,2.4,12.9,0,3,0,0
7,1,0,USA,Guadalajara,Education,Debit Card,Desktop,78,722,1.6,15919.64,49.91,147,22,24.6,9.11,0,0,0,0
7,1,0,Brazil,Tokyo,Clothing,Credit Card,Mobile,30,810,2.1,1858.14,56.17,155,20,13.5,9.53,0,0,0,0
1,0,1,Germany,London,Grocery,Debit Card,Desktop,42,673,6.8,11805.11,56.85,134,22,1.7,10.04,0,0,0,0
22,1,1,India,Vancouver,Grocery,Debit Card,Desktop,65,796,2.3,5322.63,217.35,145,19,10.9,0.16,0,0,1,0
6,1,1,Mexico,London,Clothing,Bank Transfer,Mobile,63,621,6.6,3808.12,77.23,173,16,1.0,0.02,0,0,0,0
17,0,0,USA,Guadalajara,Travel,Credit Card,Mobile,38,629,2.9,194557.17,162.37,156,18,33.9,0.19,0,0,0,0
20,0,0,France,London,Online Shopping,Crypto,POS Terminal,42,614,0.8,1089.27,178.12,158,14,20.8,0.93,0,0,0,0
13,1,0,USA,Paris,Healthcare,Credit Card,Mobile,34,708,0.8,10220.12,48.35,161,18,49.9,6.38,0,1,0,0
13,0,0,USA,Los Angeles,Restaurant,Bank Transfer,Mobile,25,615,5.1,22118.02,42.39,141,21,58.9,1.4,0,2,1,0
8,0,0,USA,Osaka,Healthcare,Debit Card,Mobile,41,850,6.9,3090.3,49.3,155,26,11.3,74.07,0,0,0,0
3,0,1,India,Mexico City,Online Shopping,Bank Transfer,Mobile,22,577,16.0,5132.54,12.3,134,16,19.5,25.29,0,1,0,0
4,0,1,France,Osaka,Restaurant,Credit Card,Tablet,64,601,1.1,6786.77,17.75,153,18,6.3,4.37,0,0,0,0
16,0,0,France,São Paulo,Education,Mobile Payment,ATM,49,621,1.4,9193.21,32.13,131,21,14.5,9.96,0,0,0,0
16,0,0,Mexico,Toronto,Crypto Exchange,Bank Transfer,Mobile,38,618,1.5,33630.26,48.35,140,14,22.5,4.13,0,0,0,0
13,0,0,Germany,Mexico City,Clothing,Credit Card,ATM,25,833,0.6,15006.23,125.22,130,19,47.6,1.01,0,1,0,0
14,0,0,Brazil,Mexico City,Electronics,Debit Card,Tablet,44,716,0.9,1347.94,682.25,163,19,28.9,6.0,0,0,1,0
7,1,0,Mexico,New York,Fuel,Bank Transfer,Tablet,31,603,6.8,8933.79,288.48,143,20,20.2,19.48,1,0,0,0
15,1,0,USA,London,Fuel,Debit Card,Mobile,18,683,4.6,14925.46,93.35,145,25,9.1,23.61,0,0,0,0
15,0,0,USA,London,Clothing,Bank Transfer,ATM,56,697,6.4,11167.14,135.4,140,22,32.9,25.18,0,1,0,0
2,1,1,France,Los Angeles,Grocery,Debit Card,Desktop,50,676,8.1,9082.79,39.41,139,19,12.6,0.07,0,0,0,0
16,1,0,Japan,Paris,Grocery,Debit Card,Mobile,48,501,1.4,301.05,25.71,151,22,3.0,19.95,0,0,1,0
6,1,1,Brazil,Mumbai,Utilities,Bank Transfer,Mobile,62,534,5.9,123243.79,57.25,137,19,0.2,2.81,0,1,0,0
5,0,1,USA,Munich,Utilities,Credit Card,Desktop,36,514,0.5,4326.58,67.91,147,19,9.2,12.2,0,0,0,0
8,0,0,Brazil,Lyon,Utilities,Credit Card,Desktop,51,710,4.1,12300.07,220.55,150,18,5.4,35.07,0,0,0,0
11,1,0,France,Guadalajara,Electronics,Debit Card,POS Terminal,36,574,20.4,3060.54,197.43,140,13,11.7,16.53,0,0,0,0
20,0,0,USA,Delhi,Education,Bank Transfer,Desktop,46,632,4.0,5411.2,71.92,156,19,6.4,4.86,1,0,0,0
19,0,0,Canada,Guadalajara,Travel,Debit Card,Mobile,61,747,1.8,8620.91,455.71,139,21,10.3,17.76,0,0,0,0
23,1,1,India,Mumbai,Grocery,Cheque,Desktop,64,802,0.7,1219.05,12.83,163,27,5.5,56.55,0,0,0,0
23,0,1,USA,New York,Grocery,Debit Card,Desktop,18,764,0.8,1100.12,100.91,170,19,34.0,16.38,0,0,0,0
21,0,0,Brazil,Los Angeles,Crypto Exchange,Credit Card,Desktop,20,610,6.4,8621.54,25.39,170,25,23.1,0.27,0,0,0,0
9,0,0,UK,Los Angeles,Jewelry,Bank Transfer,Tablet,32,685,10.2,7104.31,422.48,139,14,0.0,20.91,0,1,0,0
0,1,1,India,Mumbai,ATM Withdrawal,Credit Card,Desktop,76,680,7.3,9089.78,51.22,136,22,25.3,8.48,0,0,0,0
8,0,0,France,Mumbai,Grocery,Bank Transfer,Mobile,24,850,4.8,10876.89,217.91,151,14,4.9,2.46,0,0,0,0
8,0,0,UK,Tokyo,Restaurant,Credit Card,Tablet,37,667,5.6,2627.2,200.86,168,18,27.3,27.0,0,0,0,0
14,0,0,USA,Delhi,Education,Credit Card,Mobile,51,675,18.1,37636.62,16.65,150,24,2.5,3.07,0,0,0,0
18,0,0,USA,New York,Restaurant,Mobile Payment,Mobile,48,785,1.7,14521.4,46.59,140,19,24.0,1.95,0,0,0,0
9,0,0,USA,New York,Utilities,Mobile Payment,Mobile,45,687,0.3,80097.75,90.86,139,17,57.0,14.47,0,2,0,0
21,0,0,USA,Melbourne,Grocery,Bank Transfer,Desktop,63,596,1.7,1292.17,57.54,138,17,4.2,2.71,0,4,0,0
5,0,1,Canada,Mumbai,Utilities,Debit Card,Desktop,41,679,7.5,6722.39,53.27,157,18,64.4,2.79,0,0,0,0
0,1,1,USA,Osaka,Travel,Credit Card,Mobile,37,798,3.0,1411.8,140.89,158,23,5.9,17.96,0,0,0,0
22,0,1,USA,Tokyo,Gaming,Credit Card,POS Terminal,40,609,12.1,6099.66,67.45,147,18,68.8,4.37,1,0,0,0
21,0,0,UK,Mexico City,Healthcare,Mobile Payment,Mobile,40,663,1.7,10499.59,77.64,144,24,73.0,18.91,0,0,0,0
13,0,0,Australia,Delhi,Grocery,Credit Card,Mobile,44,735,12.1,2850.21,9.78,135,25,7.1,1.93,0,0,0,1
14,0,0,Mexico,Sydney,Entertainment,Debit Card,Tablet,39,745,2.9,4475.62,164.84,155,16,23.7,7.96,1,0,0,0
9,1,0,Brazil,Mexico City,Utilities,Credit Card,Mobile,35,744,0.4,29935.46,19.8,161,21,4.7,12.2,0,0,0,0
5,1,1,India,London,Fuel,Credit Card,POS Terminal,47,686,1.6,3732.55,48.71,146,26,22.2,2.13,0,1,0,0
6,0,1,USA,São Paulo,Crypto Exchange,Cheque,ATM,44,637,2.7,1802.2,124.96,164,18,19.2,11.05,0,0,0,0
23,1,1,USA,Berlin,Gaming,Cheque,POS Terminal,50,776,1.5,10516.12,85.13,165,19,0.9,17.77,0,0,0,0
21,0,0,USA,Munich,Online Shopping,Credit Card,Mobile,32,713,4.9,2901.11,90.42,160,28,6.2,4.19,0,1,0,0
9,0,0,USA,Osaka,ATM Withdrawal,Credit Card,Desktop,47,701,1.3,13277.18,122.75,142,15,16.0,9.01,0,5,0,1
14,0,0,Germany,Tokyo,Crypto Exchange,Debit Card,Desktop,18,743,6.0,1585.37,87.64,135,16,51.0,0.26,1,0,0,0
21,1,0,Germany,Manchester,Gaming,Credit Card,Tablet,38,577,1.6,4451.17,125.18,158,16,1.6,0.83,0,0,0,0
6,1,1,Germany,Lyon,Restaurant,Credit Card,POS Terminal,50,490,1.7,2762.99,8.18,166,19,53.6,42.07,1,0,0,0
1,1,1,USA,Osaka,Education,Bank Transfer,Mobile,32,633,3.1,10697.51,248.3,166,13,0.4,7.7,0,1,1,0
13,0,0,Australia,Mexico City,Travel,Mobile Payment,Desktop,38,621,11.9,4637.74,138.22,145,19,12.4,11.72,0,1,0,0
0,0,1,France,Sydney,Grocery,Debit Card,POS Terminal,45,671,2.0,18583.84,64.81,141,13,9.8,7.93,0,0,0,0
7,0,0,USA,Rio,Electronics,Credit Card,Mobile,37,634,5.0,72950.79,392.07,138,30,3.9,16.5,0,0,0,0
1,0,1,Brazil,São Paulo,Utilities,Cheque,Desktop,29,759,0.3,8511.34,253.4,164,25,11.5,6.09,1,0,1,1
8,0,0,USA,Rio,Online Shopping,Debit Card,Mobile,58,508,6.2,14319.59,44.64,149,20,10.0,38.17,1,5,0,0
3,0,1,India,Rio,Restaurant,Credit Card,Tablet,28,716,13.7,6366.22,51.68,157,10,6.8,4.74,0,0,0,0
12,0,0,Mexico,Tokyo,Education,Credit Card,Mobile,55,723,1.1,11569.15,76.37,143,20,5.7,21.02,0,0,0,0
9,1,0,Brazil,Guadalajara,Grocery,Debit Card,Mobile,33,711,3.5,9106.92,69.1,145,20,5.5,7.4,0,0,0,0
9,0,0,Germany,Guadalajara,Utilities,Bank Transfer,ATM,37,462,0.1,2168.61,19.12,160,25,37.9,4.96,0,0,0,0
11,0,0,Japan,Rio,Healthcare,Debit Card,Mobile,21,708,0.9,29670.93,24.09,158,17,4.8,19.17,0,0,0,0
10,1,0,India,Delhi,Electronics,Credit Card,POS Terminal,51,687,1.9,1861.67,1213.19,135,11,0.8,2.03,1,1,0,0
5,1,1,USA,Los Angeles,Gaming,Credit Card,Mobile,40,696,11.0,8625.54,19.55,139,23,9.6,37.75,0,0,0,0
4,0,1,USA,Rio,ATM Withdrawal,Credit Card,Tablet,35,699,5.5,26308.9,42.21,150,17,30.8,5.92,0,0,0,0
21,0,0,India,Delhi,Crypto Exchange,Cheque,Mobile,45,658,0.7,30506.18,31.85,153,27,0.2,2.54,0,0,0,0
16,1,0,USA,Sydney,Entertainment,Credit Card,Desktop,32,726,4.9,6044.52,44.71,137,25,12.2,0.06,0,1,0,0
1,1,1,Japan,Los Angeles,Restaurant,Credit Card,Desktop,22,824,0.9,4773.96,214.56,146,19,14.2,21.29,0,0,1,0
22,0,1,France,Manchester,Education,Credit Card,Mobile,39,657,0.1,8122.58,492.96,149,10,76.2,2.66,1,3,0,0
12,1,0,Canada,Lyon,Utilities,Credit Card,Mobile,44,708,2.3,21890.98,39.35,166,20,3.7,17.59,0,0,1,0
11,1,0,UK,Melbourne,Electronics,Credit Card,Tablet,59,647,8.8,1172.27,356.11,151,17,36.4,6.35,0,3,0,0
10,0,0,France,Lyon,ATM Withdrawal,Cheque,Mobile,18,794,3.9,50068.85,52.84,158,21,5.8,7.51,0,0,0,0
8,0,0,Japan,Melbourne,Gaming,Credit Card,Mobile,36,796,1.1,35439.12,257.4,139,15,8.4,13.55,0,3,0,0
2,0,1,USA,Guadalajara,Entertainment,Crypto,ATM,64,677,18.0,4163.86,54.29,159,17,4.6,10.78,1,0,0,0
7,0,0,Germany,London,Electronics,Mobile Payment,Mobile,43,750,12.1,9598.59,137.17,146,26,1.2,1.18,0,0,0,0
12,0,0,USA,Lyon,Electronics,Debit Card,Tablet,53,631,4.6,12513.56,9343.9,138,14,2.3,23.72,0,0,0,0
0,0,1,USA,Paris,Crypto Exchange,Bank Transfer,Tablet,79,665,19.9,58821.52,58.8,161,17,53.2,11.98,0,0,0,0
14,0,0,UK,New York,Grocery,Mobile Payment,Mobile,48,665,16.4,3186.28,6.5,139,20,13.9,3.56,0,0,0,0
