hour,day_of_week,is_night,amount_paid,log_amount_paid,is_whole_units,currency_mismatch,amount_mismatch_pct,same_account,same_bank,payment_format,payment_currency,sender_txn_count,receiver_txn_count,from_bank_txn_count,to_bank_txn_count,amount_vs_sender_median,Is Laundering
18,4,0,1065092.7,13.8786,0,0,0.0,0,0,Wire,Yen,1,1,21,9,1.0,0
0,3,1,66.44,4.2112,0,0,0.0,1,1,Reinvestment,Saudi Riyal,1,1,24,22,1.0,0
19,3,0,6271.51,8.7439,0,0,0.0,0,0,Credit Card,Euro,1,1,2,4,1.0,0
15,3,0,733.56,6.5993,0,0,0.0,0,0,Cash,US Dollar,1,2,46,13,1.0,0
13,1,0,1153763.28,13.9585,0,0,0.0,0,0,ACH,Yen,1,1,4,9,1.0,0
7,3,0,555.13,6.321,0,0,0.0,0,0,Cheque,US Dollar,1,1,3,4,1.0,0
16,0,0,746130.62,13.5227,0,0,0.0,0,0,Credit Card,Rupee,1,1,2,10,1.0,0
3,4,1,202.64,5.3164,0,0,0.0,0,0,Credit Card,Yuan,1,2,37,18,1.0,0
6,3,0,29727.7,10.2999,0,0,0.0,0,0,Wire,US Dollar,1,1,29,8,1.0,0
4,2,1,1047.91,6.9555,0,0,0.0,0,0,Credit Card,US Dollar,1,1,24,174,1.0,0
8,4,0,7345.22,8.9019,0,0,0.0,0,0,Credit Card,US Dollar,1,1,23,11,1.0,0
5,3,1,74.11,4.319,0,0,0.0,0,0,Cheque,Euro,1,1,31,26,1.0,0
23,4,1,26626.34,10.1897,0,0,0.0,0,0,Cheque,US Dollar,1,1,31,16,1.0,0
20,1,0,105438.08,11.5659,0,0,0.0,0,0,Cheque,Rupee,1,1,6,10,1.0,0
0,4,1,252.57,5.5356,0,0,0.0,0,0,Cheque,Euro,2,1,38,7,0.6382,0
1,6,1,63.36,4.1645,0,0,0.0,0,0,Cash,US Dollar,626,1,1770,6,0.0626,0
6,4,0,0.005178,0.0052,0,0,0.0,0,0,Bitcoin,Bitcoin,1,1,2,15,1.0,0
3,3,1,117.59,4.7757,0,0,0.0,1,1,Reinvestment,Yuan,1,1,10,18,1.0,0
15,2,0,8514.67,9.0497,0,0,0.0,0,0,Credit Card,Shekel,1,1,6,6,1.0,0
22,3,1,2480.76,7.8167,0,0,0.0,0,0,Credit Card,Canadian Dollar,1,1,12,18,1.0,0
0,3,1,145.39,4.9863,0,0,0.0,0,0,Cheque,US Dollar,1,1,11,19,1.0,0
1,0,1,2026.23,7.6144,0,0,0.0,0,0,Cheque,Euro,1,1,64,17,1.0,0
22,3,1,0.011655,0.0116,0,0,0.0,1,1,Bitcoin,Bitcoin,1,1,1,1,1.0,0
9,5,0,1261.5,7.1408,0,0,0.0,0,0,Cheque,Euro,1,1,30,32,1.0,0
18,4,0,121.53,4.8084,0,0,0.0,0,0,Cash,Euro,1,2,1,12,1.0,0
6,4,0,1160.74,7.0577,0,0,0.0,0,0,Cheque,US Dollar,2,1,372,17,0.0749,0
3,6,1,1166.55,7.0627,0,0,0.0,0,0,Wire,US Dollar,1,1,44,10,1.0,0
18,0,0,1898.03,7.5491,0,0,0.0,0,0,Credit Card,Yuan,113,1,1770,185,0.3364,0
2,5,1,2123.97,7.6615,0,0,0.0,0,0,Cheque,US Dollar,1,1,72,17,1.0,0
10,3,0,21272.79,9.9652,0,0,0.0,1,1,Reinvestment,Rupee,1,1,8,14,1.0,0
5,5,1,269366.08,12.5038,0,0,0.0,0,0,ACH,Brazil Real,1,1,17,24,1.0,0
4,0,1,19.24,3.0077,0,0,0.0,0,0,Credit Card,Euro,1,2,380,30,1.0,0
6,4,0,1319.76,7.186,0,0,0.0,0,0,Cheque,Australian Dollar,60,1,1770,55,1.0823,0
19,4,0,6504.6,8.7804,0,0,0.0,0,0,Credit Card,Euro,1,1,30,30,1.0,0
4,2,1,117.2,4.7724,0,0,0.0,0,0,Cash,Shekel,1,1,10,7,1.0,0
14,4,0,5460.31,8.6054,0,0,0.0,0,0,Credit Card,US Dollar,1,1,9,18,1.0,0
4,3,1,16.7,2.8736,0,0,0.0,0,0,Cash,Euro,2,1,19,4,0.0057,0
14,3,0,3448.51,8.146,0,0,0.0,0,0,Credit Card,US Dollar,1,1,12,4,1.0,0
7,4,0,7365416.68,15.8123,0,0,0.0,0,0,Cheque,Rupee,106,1,1770,9,89.8662,0
10,3,0,10069.94,9.2174,0,0,0.0,0,0,Credit Card,Euro,1,1,95,13,1.0,0
0,3,1,3684316.89,15.1196,0,0,0.0,1,1,Reinvestment,Yen,1,1,1,1,1.0,0
0,3,1,4772459.06,15.3784,0,0,0.0,1,1,Reinvestment,Rupee,1,1,17,12,1.0,0
10,5,0,180.38,5.2006,0,0,0.0,0,0,Credit Card,Euro,2,1,12,6,0.02,0
5,0,1,3321.91,8.1086,0,0,0.0,0,0,Credit Card,Euro,1,1,38,15,1.0,0
2,4,1,2795.98,7.9363,0,0,0.0,0,0,Cheque,Australian Dollar,1,1,1,8,1.0,0
2,3,1,227.04,5.4295,0,0,0.0,0,0,Cheque,US Dollar,1,1,79,28,1.0,0
20,4,0,402.84,6.001,0,0,0.0,0,0,Cash,Euro,1,1,37,8,1.0,0
10,5,0,298.17,5.701,0,0,0.0,0,0,Cash,Rupee,106,1,1770,4,0.0036,0
21,0,0,12.69,2.6167,0,0,0.0,0,0,Cash,Australian Dollar,60,1,1770,18,0.0104,0
11,5,0,748814.93,13.5262,0,0,0.0,0,0,Cash,US Dollar,2,1,65,31,1.9971,0
6,0,0,28675.46,10.2638,0,0,0.0,0,0,Credit Card,Mexican Peso,1,1,23,2,1.0,0
19,3,0,141.55,4.9597,0,0,0.0,0,0,Credit Card,US Dollar,1,1,40,20,1.0,0
0,3,1,9.64,2.3646,0,0,0.0,1,1,Reinvestment,US Dollar,1,1,380,185,1.0,0
11,4,0,12327.32,9.4197,0,0,0.0,0,0,Cheque,US Dollar,1,1,35,15,1.0,0
18,3,0,456.92,6.1267,0,0,0.0,0,0,Cheque,US Dollar,1,1,73,34,1.0,0
11,2,0,23909986.26,16.9898,0,0,0.0,0,0,Cheque,Rupee,1,1,31,17,1.0,0
0,3,1,7.26,2.1114,0,0,0.0,1,1,Reinvestment,Euro,1,1,31,18,1.0,0
18,3,0,38058.28,10.5469,0,0,0.0,0,0,Cash,Ruble,2,2,23,56,0.733,0
17,4,0,1672.87,7.4229,0,0,0.0,0,0,Cheque,Euro,383,1,1770,18,1.7148,0
20,3,0,5729.24,8.6535,0,0,0.0,0,0,Cheque,Mexican Peso,17,1,1770,55,0.3251,0
8,3,0,0.308552,0.2689,0,0,0.0,0,0,Bitcoin,Bitcoin,1,1,87,10,1.0,0
6,4,0,6885959.0,15.745,1,0,0.0,0,0,Cheque,Yen,63,1,1770,13,34.3412,0
0,4,1,416.57,6.0345,0,0,0.0,0,0,Cheque,Euro,1,1,58,32,1.0,0
6,1,0,159.94,5.081,0,0,0.0,0,0,Cash,Shekel,49,1,1770,10,0.1031,0
15,4,0,927.32,6.8334,0,0,0.0,0,0,Cash,Yuan,1,1,6,12,1.0,0
15,5,0,760.39,6.6351,0,0,0.0,0,0,Credit Card,Swiss Franc,1,1,90,13,1.0,0
3,1,1,134.65,4.9101,0,0,0.0,0,0,Cheque,Euro,383,1,1770,10,0.138,0
18,4,0,25980.59,10.1651,0,0,0.0,0,0,Cheque,Euro,1,1,380,32,1.0,0
0,3,1,13004141.25,16.3808,0,0,0.0,1,1,Reinvestment,US Dollar,1,1,89,58,1.0,0
0,3,1,5086.21,8.5345,0,0,0.0,0,0,Cheque,Australian Dollar,60,1,1770,8,4.1709,0
0,3,1,37.33,3.6462,0,0,0.0,0,0,Credit Card,US Dollar,3,1,380,16,0.8427,0
3,5,1,75.86,4.342,0,0,0.0,0,0,Credit Card,Euro,1,1,41,19,1.0,0
9,6,0,334.627437,5.816,0,0,0.0,1,1,Bitcoin,Bitcoin,1,1,50,23,1.0,0
14,5,0,899.5,6.803,0,0,0.0,0,0,Cheque,US Dollar,2,2,15,8,1.0,0
1,4,1,4868.43,8.4907,0,0,0.0,0,0,Cheque,US Dollar,2,2,6,7,1.9801,0
8,4,0,79.43,4.3874,0,0,0.0,0,0,Credit Card,US Dollar,1,1,372,58,1.0,0
1,4,1,0.039993,0.0392,0,0,0.0,0,0,Bitcoin,Bitcoin,1,1,13,10,1.0,0
3,2,1,895.65,6.7987,0,0,0.0,0,0,Cheque,US Dollar,1,1,27,24,1.0,0
20,1,0,159.21,5.0765,0,0,0.0,0,0,Cheque,US Dollar,2,1,14,20,1.8355,0
0,3,1,3799.48,8.2429,0,0,0.0,0,0,Credit Card,Euro,2,2,6,7,0.035,0
2,4,1,734.51,6.6006,0,0,0.0,0,0,Cheque,US Dollar,1,1,6,9,1.0,0
16,5,0,2900.31,7.9729,0,0,0.0,0,0,Cheque,Canadian Dollar,1,1,73,20,1.0,0
1,5,1,525.14,6.2656,0,0,0.0,0,0,Cheque,Euro,1,1,6,2,1.0,0
4,3,1,306.86,5.7296,0,0,0.0,0,0,Credit Card,Saudi Riyal,1,1,46,6,1.0,0
0,3,1,1547358.44,14.2521,0,0,0.0,1,1,Reinvestment,Rupee,1,1,4,7,1.0,0
4,4,1,1651.71,7.4102,0,0,0.0,0,0,Cheque,US Dollar,1,1,45,28,1.0,0
5,4,1,11381.21,9.3398,0,0,0.0,0,0,Credit Card,Rupee,1,1,12,3,1.0,0
5,1,1,2716.44,7.9074,0,0,0.0,0,0,Cheque,US Dollar,1,1,53,21,1.0,0
12,4,0,4667.97,8.4487,0,0,0.0,0,0,Credit Card,US Dollar,1,1,33,15,1.0,0
19,3,0,3384.49,8.1273,0,0,0.0,0,0,Credit Card,US Dollar,1,1,22,20,1.0,0
14,3,0,917853.75,13.7298,0,0,0.0,0,0,Cash,US Dollar,1,1,4,20,1.0,0
23,4,1,3421.46,8.1381,0,0,0.0,0,0,ACH,Yuan,1,1,1,18,1.0,0
22,2,1,2838.2,7.9513,0,0,0.0,0,0,Cheque,US Dollar,1,2,73,29,1.0,0
23,1,1,880.77,6.7819,0,0,0.0,0,0,Cheque,US Dollar,1,1,13,14,1.0,0
3,3,1,674.43,6.5153,0,0,0.0,1,1,Reinvestment,US Dollar,1,1,6,10,1.0,0
1,0,1,5620.33,8.6343,0,0,0.0,0,0,Cash,US Dollar,3,3,24,10,1.1038,0
10,2,0,2776.9,7.9295,0,0,0.0,0,0,Credit Card,Brazil Real,58,2,1770,24,0.2961,0
0,3,1,20.22,3.0549,0,0,0.0,1,1,Reinvestment,Swiss Franc,1,1,7,9,1.0,0
17,0,0,463.0,6.1399,1,0,0.0,0,0,ACH,Canadian Dollar,1,1,16,4,1.0,0
9,5,0,11.38,2.5161,0,0,0.0,0,0,Cheque,US Dollar,1,1,194,56,1.0,0
9,3,0,1138217.1,13.945,0,0,0.0,0,0,Cash,US Dollar,1,1,35,9,1.0,0
11,4,0,1266.27,7.1446,0,0,0.0,0,0,Cash,Australian Dollar,60,1,1770,11,1.0384,0
14,4,0,623.05,6.4362,0,0,0.0,0,0,Wire,US Dollar,1,1,42,2,1.0,0
12,0,0,1032.87,6.9411,0,0,0.0,0,0,Cheque,Euro,1,1,9,28,1.0,0
15,5,0,628090.8,13.3504,0,0,0.0,0,0,Cheque,Yen,1,1,12,8,1.0,0
1,1,1,1973.79,7.5882,0,0,0.0,0,0,Credit Card,Shekel,1,1,26,23,1.0,0
10,3,0,16852.13,9.7323,0,0,0.0,0,0,Credit Card,US Dollar,2,1,66,16,0.0005,0
16,3,0,61734158.84,17.9383,0,0,0.0,0,0,Cheque,Euro,1,1,93,21,1.0,0
16,2,0,232.7,5.454,0,0,0.0,0,0,Cash,Euro,1,1,38,13,1.0,0
21,0,0,61.78,4.1396,0,0,0.0,0,0,Cash,US Dollar,626,2,1770,15,0.061,0
13,0,0,20319.52,9.9194,0,0,0.0,0,0,Cash,Yuan,1,1,11,3,1.0,0
7,6,0,304084.91,12.6251,0,0,0.0,0,0,Cheque,Yen,1,1,2,11,1.0,0
1,3,1,45939.19,10.7351,0,0,0.0,0,0,Credit Card,Brazil Real,1,1,1,5,1.0,0
0,3,1,240.4,5.4865,0,0,0.0,0,0,Cheque,Euro,1,1,1,1,1.0,0
21,4,0,7860099.23,15.8773,0,0,0.0,0,0,ACH,Euro,1,1,30,16,1.0,0
0,3,1,530.44,6.2756,0,0,0.0,1,1,Reinvestment,US Dollar,1,1,4,9,1.0,0
0,3,1,0.023282,0.023,0,0,0.0,1,1,Bitcoin,Bitcoin,1,1,372,174,1.0,0
22,4,1,2214.31,7.7031,0,0,0.0,0,0,Cheque,Euro,383,1,1770,10,2.2698,0
10,0,0,2071.63,7.6366,0,0,0.0,0,0,Credit Card,US Dollar,1,1,380,36,1.0,0
10,1,0,1400271.21,14.1522,0,0,0.0,0,0,Wire,Euro,1,1,79,43,1.0,0
5,4,1,174.42,5.1672,0,0,0.0,0,0,ACH,Rupee,1,1,23,13,1.0,0
9,3,0,1764.95,7.4764,0,0,0.0,0,0,Cheque,Euro,1,1,17,6,1.0,0
21,3,0,8005.11,8.988,0,0,0.0,0,0,Credit Card,US Dollar,626,1,1770,5,7.9056,0
9,3,0,35.54,3.5984,0,0,0.0,0,0,Credit Card,Swiss Franc,1,1,51,10,1.0,0
17,3,0,22211931.97,16.9161,0,0,0.0,0,0,Cheque,Euro,1,1,64,43,1.0,0
9,3,0,7888.64,8.9733,0,0,0.0,0,0,Credit Card,Canadian Dollar,1,1,73,19,1.0,0
18,3,0,367.98,5.9107,0,0,0.0,0,0,Credit Card,Australian Dollar,1,1,18,4,1.0,0
2,2,1,220.98,5.4026,0,0,0.0,0,0,Cheque,Euro,1,1,26,17,1.0,0
3,4,1,565.46,6.3394,0,0,0.0,0,0,Credit Card,Yuan,1,1,7,13,1.0,0
16,3,0,973739.3,13.7889,0,0,0.0,0,0,ACH,Ruble,1,1,83,106,1.0,0
0,3,1,20257.45,9.9163,0,0,0.0,1,1,Reinvestment,Euro,1,1,2,6,1.0,0
21,3,0,22966.83,10.0418,0,0,0.0,1,1,Reinvestment,Yuan,1,1,5,5,1.0,0
16,6,0,1716.75,7.4488,0,0,0.0,0,0,Cheque,Canadian Dollar,1,1,38,8,1.0,0
0,3,1,535.0,6.2841,1,0,0.0,0,0,Cheque,US Dollar,1,1,6,9,1.0,0
0,3,1,241.38,5.4905,0,0,0.0,0,0,Credit Card,US Dollar,1,2,37,3,1.0,0
5,3,1,0.013333,0.0132,0,0,0.0,0,0,Bitcoin,Bitcoin,87,1,1770,7,0.3385,0
21,4,0,76760.93,11.2485,0,0,0.0,0,0,Cheque,Euro,383,1,1770,15,78.684,0
5,4,1,605.11,6.4071,0,0,0.0,0,0,Cash,US Dollar,1,5,1,12,1.0,0
18,4,0,5369.75,8.5887,0,0,0.0,0,0,Cheque,Euro,2,1,72,6,0.4588,0
9,5,0,1358.75,7.2151,0,0,0.0,0,0,Credit Card,US Dollar,1,1,31,35,1.0,0
0,3,1,0.614413,0.479,0,0,0.0,1,1,Bitcoin,Bitcoin,1,1,3,7,1.0,0
5,4,1,43.84,3.8031,0,0,0.0,0,0,ACH,US Dollar,1,1,34,20,1.0,0
2,3,1,2647.9,7.8819,0,0,0.0,0,0,Credit Card,US Dollar,1,2,10,51,1.0,0
0,3,1,182109.75,12.1124,0,0,0.0,1,1,Reinvestment,US Dollar,1,1,2,7,1.0,0
20,5,0,27678.79,10.2285,0,0,0.0,0,0,Cheque,US Dollar,1,1,79,5,1.0,0
4,4,1,2065.85,7.6338,0,0,0.0,0,0,Cheque,Australian Dollar,1,1,4,3,1.0,0
4,5,1,1365617.93,14.1271,0,0,0.0,0,0,Cheque,US Dollar,626,1,1770,12,1348.6452,0
6,0,0,22962.6,10.0417,0,0,0.0,0,0,Cheque,Rupee,1,1,39,4,1.0,0
3,5,1,113.21,4.738,0,0,0.0,0,0,ACH,Euro,1,1,39,34,1.0,0
1,5,1,3359157.42,15.0272,0,0,0.0,0,0,Cheque,Saudi Riyal,1,1,10,2,1.0,0
2,4,1,250.87,5.5289,0,0,0.0,0,0,Credit Card,Saudi Riyal,1,1,10,18,1.0,0
13,3,0,456175.18,13.0306,0,0,0.0,1,1,Reinvestment,Ruble,1,1,1,1,1.0,0
0,1,1,0.000505,0.0005,0,0,0.0,0,1,Bitcoin,Bitcoin,2,1,28,24,0.0904,0
0,3,1,107.59,4.6876,0,0,0.0,0,0,Credit Card,Yuan,1,1,21,6,1.0,0
21,4,0,3811.21,8.246,0,0,0.0,0,0,Credit Card,Euro,1,1,16,29,1.0,0
3,3,1,469.3,6.1534,0,0,0.0,0,0,Cheque,US Dollar,2,2,41,16,1.0,0
16,4,0,110089.09,11.6091,0,0,0.0,0,0,Cheque,Ruble,1,1,65,23,1.0,0
19,4,0,4820.96,8.4809,0,0,0.0,0,0,Credit Card,US Dollar,1,1,9,4,1.0,0
20,4,0,8375.96,9.0332,0,0,0.0,0,0,Credit Card,Euro,383,1,1770,12,8.5858,0
22,4,1,246.56,5.5117,0,0,0.0,0,0,Cheque,Euro,2,1,68,31,0.0095,0
3,4,1,8294.73,9.0235,0,0,0.0,0,1,Cheque,Euro,1,1,380,185,1.0,0
23,4,1,0.082167,0.079,0,0,0.0,0,0,Bitcoin,Bitcoin,2,2,12,53,1.6009,0
18,5,0,1414.54,7.2553,0,0,0.0,0,0,Credit Card,Brazil Real,1,1,13,13,1.0,0
9,3,0,1233.03,7.118,0,0,0.0,0,0,Cheque,US Dollar,1,1,65,16,1.0,0
3,3,1,15213.32,9.63,0,0,0.0,0,0,Cheque,Rupee,1,1,26,10,1.0,0
7,2,0,1735.44,7.4596,0,0,0.0,0,0,Credit Card,US Dollar,2,2,101,22,1.0,0
17,3,0,70177674.72,18.0665,0,0,0.0,0,0,Cheque,Australian Dollar,1,1,6,7,1.0,0
19,0,0,4799.39,8.4765,0,0,0.0,0,0,Credit Card,Shekel,1,1,18,9,1.0,0
4,3,1,1878.04,7.5385,0,0,0.0,0,0,ACH,US Dollar,1,1,2,28,1.0,0
5,1,1,13345.61,9.499,0,0,0.0,0,0,Cheque,UK Pound,2,1,24,12,1.9954,0
8,6,0,1355.15,7.2124,0,0,0.0,0,0,Cash,Australian Dollar,60,1,1770,185,1.1113,0
11,5,0,2521.87,7.8332,0,0,0.0,0,0,Wire,US Dollar,1,1,29,18,1.0,0
4,5,1,3462.25,8.15,0,0,0.0,0,1,Cheque,Rupee,1,1,23,15,1.0,0
3,3,1,31.69,3.4871,0,0,0.0,0,0,Wire,US Dollar,1,1,28,17,1.0,0
21,2,0,273770.91,12.5201,0,0,0.0,0,0,Cheque,Brazil Real,1,1,8,12,1.0,0
18,1,0,3074.79,8.0313,0,0,0.0,0,0,Cheque,Yuan,1,1,21,34,1.0,0
4,2,1,6732.01,8.8148,0,1,0.171782,1,1,ACH,Euro,1,1,19,17,1.0,0
18,4,0,1019.85,6.9284,0,0,0.0,0,0,Cheque,Euro,1,1,41,32,1.0,0
14,5,0,501.57,6.2197,0,0,0.0,0,0,Cheque,US Dollar,1,1,4,5,1.0,0
2,3,1,584.72,6.3728,0,0,0.0,0,0,Credit Card,Shekel,1,1,26,15,1.0,0
5,0,1,405.67,6.008,0,0,0.0,0,0,Cheque,US Dollar,1,1,35,174,1.0,0
9,2,0,132242.31,11.7924,0,0,0.0,0,0,Cheque,US Dollar,1,1,30,10,1.0,0
7,4,0,3395.88,8.1306,0,0,0.0,0,0,Credit Card,US Dollar,2,1,7,23,0.8491,0
12,1,0,380.8,5.9449,0,0,0.0,0,0,Cheque,Euro,383,1,1770,8,0.3903,0
8,0,0,2543.99,7.8419,0,0,0.0,0,0,ACH,Rupee,1,1,12,8,1.0,0
10,6,0,10513.31,9.2605,0,0,0.0,0,0,Credit Card,Mexican Peso,1,1,23,115,1.0,0
3,1,1,8751.24,9.0771,0,0,0.0,0,0,Cash,Euro,1,1,372,39,1.0,0
22,4,1,5013.93,8.5202,0,0,0.0,0,0,Credit Card,Euro,1,1,33,18,1.0,0
6,3,0,1540.27,7.3404,0,0,0.0,0,0,Cheque,US Dollar,626,1,1770,45,1.5211,0
15,1,0,448.27,6.1076,0,0,0.0,0,0,Cash,US Dollar,2,1,31,29,0.9908,0
20,3,0,655.47,6.4869,0,0,0.0,0,0,Credit Card,US Dollar,1,1,52,13,1.0,0
12,4,0,453.97,6.1202,0,0,0.0,0,0,Cheque,US Dollar,2,1,106,33,0.2451,0
8,3,0,71.2,4.2794,0,0,0.0,1,1,Reinvestment,Brazil Real,1,1,4,17,1.0,0
21,4,0,310322.95,12.6454,0,0,0.0,0,0,ACH,US Dollar,1,1,194,35,1.0,0
7,2,0,1161.15,7.058,0,0,0.0,0,0,ACH,US Dollar,1,1,3,20,1.0,0
0,5,1,108.31,4.6942,0,0,0.0,0,0,Cash,Euro,3,2,33,41,1.0,0
1,4,1,166031.16,12.0199,0,0,0.0,0,0,Credit Card,Mexican Peso,1,1,83,35,1.0,0
2,3,1,3163.86,8.0599,0,0,0.0,0,0,Cheque,Euro,1,1,5,5,1.0,0
18,0,0,1562.13,7.3544,0,0,0.0,0,0,ACH,US Dollar,1,1,51,10,1.0,0
9,6,0,356.4,5.8789,0,0,0.0,0,0,Credit Card,US Dollar,1,2,13,29,1.0,0
1,3,1,15646.45,9.6581,0,0,0.0,0,0,Cheque,Rupee,1,1,2,7,1.0,0
6,3,0,3090.94,8.0366,0,0,0.0,1,1,Reinvestment,Euro,1,1,1,1,1.0,0
4,1,1,529.0,6.2729,1,0,0.0,0,0,Cheque,US Dollar,2,1,17,45,1.2762,0
8,2,0,2403.71,7.7852,0,0,0.0,0,0,ACH,US Dollar,1,1,16,7,1.0,0
23,3,1,2677.25,7.8929,0,0,0.0,1,1,Reinvestment,Euro,1,1,20,25,1.0,0
18,3,0,6000160.15,15.6073,0,0,0.0,1,1,Reinvestment,Rupee,1,2,1,5,1.0,0
16,4,0,149.76,5.0157,0,0,0.0,0,0,Cheque,US Dollar,1,1,24,17,1.0,0
22,0,1,12785.85,9.4562,0,0,0.0,0,0,ACH,Brazil Real,1,1,1,10,1.0,0
11,5,0,1.660927,0.9787,0,0,0.0,0,0,Bitcoin,Bitcoin,2,1,6,16,1.9647,0
20,3,0,214633.35,12.2767,0,0,0.0,1,1,Reinvestment,Brazil Real,1,1,16,24,1.0,0
4,3,1,2420109.73,14.6993,0,0,0.0,0,0,Cash,US Dollar,1,1,27,10,1.0,0
12,4,0,188.77,5.2458,0,0,0.0,0,0,Credit Card,Saudi Riyal,1,1,1,4,1.0,0
11,1,0,599640.2,13.3041,0,0,0.0,0,0,ACH,Yuan,2,1,55,14,0.6551,0
3,0,1,10934.7,9.2998,0,0,0.0,0,0,Credit Card,US Dollar,1,1,8,32,1.0,0
19,4,0,32.59,3.5142,0,0,0.0,0,0,Credit Card,US Dollar,1,1,23,6,1.0,0
6,4,0,27515.97,10.2226,0,0,0.0,0,0,Cheque,Saudi Riyal,2,2,146,63,1.0,0
15,6,0,144629.46,11.8819,0,0,0.0,0,0,Credit Card,Yen,1,1,194,23,1.0,0
0,3,1,1089566.32,13.9013,0,0,0.0,0,0,Credit Card,Yen,1,1,2,6,1.0,0
15,4,0,6.85,2.0605,0,0,0.0,0,0,Credit Card,US Dollar,1,1,16,22,1.0,0
11,0,0,157.35,5.0648,0,0,0.0,0,0,Cheque,Saudi Riyal,1,1,22,24,1.0,0
6,4,0,20440.75,9.9253,0,0,0.0,0,0,Cheque,Shekel,1,1,21,11,1.0,0
3,1,1,3625.82,8.1961,0,0,0.0,0,0,Cash,Rupee,106,1,1770,9,0.0442,0
6,3,0,60105.72,11.0039,0,0,0.0,0,1,Cheque,Euro,1,1,53,28,1.0,0
