id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,pub_rec_bankruptcies,default_bool
1069530,1291365,7000,7000,7000.0, 36 months,15.96%,245.97,C,C5,7 years,RENT,34000.0,Source Verified,Dec-11,credit_card,934xx,CA,6.35,0,Oct-07,1,,,6,0,6113,60.50%,6,8854.510004,8854.51,7000.0,1854.51,0.0,0.0,0.0,Jan-15,260.74,Dec-14,0.0,0
1069522,1304589,12400,12400,12400.0, 36 months,10.65%,403.91,B,B2,10+ years,RENT,41000.0,Not Verified,Dec-11,credit_card,405xx,KY,11.8,0,Jul-05,2,,,9,0,11095,57.20%,12,14540.67999,14540.68,12400.0,2140.68,0.0,0.0,0.0,Jan-15,417.61,May-16,0.0,0
1069361,1304255,10800,10800,10800.0, 36 months,9.91%,348.03,B,B1,2 years,RENT,55596.0,Source Verified,Dec-11,moving,946xx,CA,5.5,0,Dec-00,0,,,7,0,2535,13.30%,18,12159.18687,12159.19,10800.0,1359.19,0.0,0.0,0.0,Nov-13,3483.79,Jan-16,0.0,0
1069357,1304251,15000,15000,15000.0, 36 months,7.90%,469.36,A,A4,1 year,RENT,45000.0,Verified,Dec-11,debt_consolidation,445xx,OH,8.48,0,Nov-04,0,,,7,0,6704,50.40%,27,16663.34403,16663.34,15000.0,1663.34,0.0,0.0,0.0,Jan-14,5872.8,May-16,0.0,0
1069356,1304250,6000,6000,6000.0, 36 months,12.42%,200.5,B,B4,1 year,RENT,36852.0,Source Verified,Dec-11,debt_consolidation,850xx,AZ,10.62,0,Apr-07,1,,,7,0,7310,66.50%,12,7127.722011,7127.72,6000.0,1127.72,0.0,0.0,0.0,Apr-14,1923.53,May-16,0.0,0
1067573,1301955,9600,9600,9600.0, 36 months,7.51%,298.67,A,A3,4 years,RENT,68004.0,Source Verified,Dec-11,other,292xx,SC,6.63,0,Jan-03,0,,,6,0,2896,18.10%,11,10751.86997,10751.87,9600.0,1151.87,0.0,0.0,0.0,Jan-15,311.56,Dec-14,0.0,0
1069506,1304567,12000,12000,12000.0, 36 months,7.90%,375.49,A,A4,10+ years,RENT,62300.0,Not Verified,Dec-11,debt_consolidation,088xx,NJ,16.7,0,Mar-94,0,38.0,,15,0,8601,21%,25,13517.36,13517.36,12000.0,1517.36,0.0,0.0,0.0,Jan-15,380.98,May-16,0.0,0
1069314,1304202,3000,3000,3000.0, 36 months,18.25%,108.84,D,D5,9 years,MORTGAGE,65000.0,Not Verified,Dec-11,other,180xx,PA,17.39,0,Sep-98,0,,,8,0,43936,98.10%,22,3917.949999,3917.95,3000.0,917.95,0.0,0.0,0.0,Jan-15,115.38,May-16,0.0,0
1060578,1292332,4400,4400,4400.0, 36 months,16.77%,156.37,D,D2,10+ years,RENT,55000.0,Not Verified,Dec-11,debt_consolidation,029xx,RI,20.01,0,Jun-04,0,,,7,0,25237,99%,11,5629.270001,5629.27,4400.0,1229.27,0.0,0.0,0.0,Jan-15,162.44,Dec-15,0.0,0
1069469,1304526,6000,6000,6000.0, 36 months,6.03%,182.62,A,A1,10+ years,MORTGAGE,45600.0,Not Verified,Dec-11,debt_consolidation,700xx,LA,5.34,0,Nov-95,1,,,6,0,3378,32.50%,28,6065.86,6065.86,6000.0,65.86,0.0,0.0,0.0,Jul-12,15.01,Jun-12,0.0,0
1051117,1282787,14000,14000,14000.0, 36 months,9.91%,451.15,B,B1,6 years,RENT,80000.0,Not Verified,Dec-11,small_business,010xx,MA,10.0,0,Jul-99,1,45.0,,7,0,2219,13.40%,40,16241.38,16241.38,14000.0,2241.38,0.0,0.0,0.0,Jan-15,457.91,Apr-16,0.0,0
1069465,1304521,5000,5000,5000.0, 36 months,8.90%,158.77,A,A5,10+ years,MORTGAGE,100000.0,Source Verified,Dec-11,debt_consolidation,441xx,OH,16.33,0,Jun-95,0,,,17,0,74351,62.10%,35,5021.37,5021.37,4217.38,696.99,0.0,107.0,1.07,Aug-14,158.77,Dec-14,0.0,1
1069283,1304166,10000,10000,10000.0, 36 months,10.65%,325.74,B,B2,6 years,RENT,27000.0,Verified,Dec-11,other,104xx,NY,11.47,0,Nov-06,0,,,7,0,7814,52.30%,10,11726.32,11726.32,10000.0,1726.32,0.0,0.0,0.0,Jan-15,332.92,Apr-16,0.0,0
1069287,1304171,10000,10000,10000.0, 36 months,6.03%,304.36,A,A1,10+ years,RENT,60000.0,Not Verified,Dec-11,credit_card,067xx,CT,12.74,0,Sep-92,1,,,11,0,14019,19.50%,18,10282.70571,10282.71,10000.0,282.71,0.0,0.0,0.0,Jul-12,8762.05,Apr-16,0.0,0
1069453,1303701,11000,11000,11000.0, 36 months,6.62%,337.75,A,A2,5 years,RENT,70000.0,Not Verified,Dec-11,debt_consolidation,061xx,CT,10.85,0,Jan-02,0,,,5,0,11638,36.40%,7,12158.61,12158.61,11000.0,1158.61,0.0,0.0,0.0,Jan-15,346.13,Apr-16,0.0,0
1069248,1304123,15000,15000,15000.0, 36 months,9.91%,483.38,B,B1,8 years,MORTGAGE,80000.0,Not Verified,Dec-11,debt_consolidation,616xx,IL,9.12,0,Apr-92,2,,,9,0,11845,63.70%,28,16177.77,16177.77,13556.45,2374.34,24.17,222.81,36.3708,Oct-14,483.38,Mar-15,0.0,1
1068120,1302485,25600,25600,25350.0, 36 months,9.91%,824.96,B,B1,9 years,RENT,110000.0,Verified,Dec-11,credit_card,913xx,CA,15.71,0,Jul-99,0,,,11,0,26088,62%,27,29698.51,29408.49,25600.0,4098.51,0.0,0.0,0.0,Jan-15,838.27,May-16,0.0,0
1069244,1304117,7000,7000,7000.0, 36 months,10.65%,228.02,B,B2,< 1 year,RENT,40000.0,Not Verified,Dec-11,debt_consolidation,947xx,CA,7.38,0,Apr-04,0,,,7,0,12168,92.90%,12,8208.410003,8208.41,7000.0,1208.41,0.0,0.0,0.0,Jan-15,240.27,Dec-14,0.0,0
1069243,1304116,12000,12000,12000.0, 36 months,15.96%,421.65,C,C5,4 years,RENT,50000.0,Not Verified,Dec-11,car,914xx,CA,20.88,0,Oct-06,2,,,11,0,15793,90.80%,11,3521.95,3521.95,1903.66,1039.35,0.0,578.94,5.49,Aug-12,421.65,Dec-12,0.0,1
1069238,1303909,12000,12000,12000.0, 36 months,9.91%,386.7,B,B1,1 year,RENT,46000.0,Not Verified,Dec-11,credit_card,765xx,TX,8.11,0,May-00,1,,,11,0,12143,52.10%,12,13751.14474,13751.14,12000.0,1751.14,0.0,0.0,0.0,Jul-14,964.73,Mar-16,0.0,0
1069410,1303652,21000,21000,20975.0, 60 months,19.91%,555.33,E,E4,7 years,RENT,50000.0,Verified,Dec-11,debt_consolidation,980xx,WA,21.58,0,Sep-98,1,,,7,0,19448,97.60%,14,18319.14,18297.35,8990.81,9328.33,0.0,0.0,0.0,Oct-14,555.33,May-16,0.0,1
1068409,1302790,16000,16000,15950.0, 60 months,19.91%,423.11,E,E4,7 years,RENT,81000.0,Verified,Dec-11,credit_card,017xx,MA,20.52,0,Dec-98,3,,,12,0,27884,75.10%,21,20882.09701,20816.84,16000.0,4882.1,0.0,0.0,0.0,Oct-13,9931.02,May-16,0.0,0
1068487,1302882,10000,10000,10000.0, 36 months,12.42%,334.16,B,B4,< 1 year,OWN,39000.0,Not Verified,Dec-11,debt_consolidation,972xx,OR,18.58,0,Dec-04,0,,,5,0,12874,72.70%,10,11477.10378,11477.1,10000.0,1477.1,0.0,0.0,0.0,Jul-13,5803.94,Mar-15,0.0,0
1043961,1274517,10000,10000,10000.0, 36 months,10.65%,325.74,B,B2,2 years,RENT,51400.0,Not Verified,Dec-11,credit_card,752xx,TX,19.14,0,Oct-00,3,,,10,0,10160,59.10%,24,10576.43411,10576.43,10000.0,576.43,0.0,0.0,0.0,Aug-12,8627.74,Sep-14,0.0,0
1068945,1287308,7100,7100,7100.0, 36 months,16.77%,252.33,D,D2,1 year,MORTGAGE,33000.0,Verified,Dec-11,debt_consolidation,787xx,TX,24.0,0,Apr-07,2,,,4,0,6021,91.20%,8,9083.530005,9083.53,7100.0,1983.53,0.0,0.0,0.0,Jan-15,262.78,May-16,0.0,0
1069142,1287810,13000,13000,13000.0, 60 months,12.69%,293.74,B,B5,< 1 year,MORTGAGE,30000.0,Source Verified,Dec-11,debt_consolidation,077xx,NJ,13.72,0,May-02,0,,,17,0,17080,58.90%,27,17402.23999,17402.24,13000.0,4402.24,0.0,0.0,0.0,Jan-16,3596.46,Jan-16,0.0,0
1068934,1277395,17500,8950,8925.0, 60 months,17.27%,223.74,D,D3,6 years,RENT,40000.0,Verified,Dec-11,small_business,951xx,CA,19.47,0,May-06,1,,,5,0,10724,58.90%,6,13227.10001,13190.15,8950.0,4277.1,0.0,0.0,0.0,Feb-16,2487.58,Jan-16,0.0,0
1069136,1278095,17675,17675,17675.0, 60 months,14.65%,417.25,C,C3,< 1 year,RENT,50000.0,Source Verified,Dec-11,debt_consolidation,540xx,WI,16.46,0,Jul-02,2,,,6,0,6661,57.40%,14,21323.86749,21323.87,17675.0,3648.87,0.0,0.0,0.0,Aug-13,13814.81,Feb-14,0.0,0
1068923,1303549,8000,8000,8000.0, 36 months,16.77%,284.31,D,D2,< 1 year,RENT,62000.0,Not Verified,Dec-11,debt_consolidation,225xx,VA,21.64,0,Jul-06,3,,,14,0,6088,66.90%,20,10273.24,10273.24,8000.0,2258.24,15.0,0.0,0.0,Dec-14,606.54,May-16,0.0,0
1069126,1303778,10000,10000,9975.0, 60 months,10.65%,215.69,B,B2,10+ years,RENT,45996.0,Verified,Dec-11,debt_consolidation,440xx,OH,21.73,0,May-97,1,,,7,0,11170,30.10%,15,8772.91,8751.08,5495.38,2429.23,1.0,847.3,152.514,Apr-15,1.0,Jun-15,0.0,1
1069102,1303750,3500,3500,3500.0, 36 months,10.65%,114.01,B,B2,7 years,MORTGAGE,55000.0,Not Verified,Dec-11,debt_consolidation,437xx,OH,5.39,0,Oct-05,1,,,9,0,6611,45.90%,12,4104.209999,4104.21,3500.0,604.21,0.0,0.0,0.0,Jan-15,118.32,Dec-14,0.0,0
1069093,1303740,12500,8925,8925.0, 60 months,17.27%,223.11,D,D3,5 years,RENT,30000.0,Source Verified,Dec-11,debt_consolidation,559xx,MN,13.16,0,Apr-95,0,,113.0,7,1,9844,70.80%,28,5577.75,5577.75,2812.82,2742.43,0.0,22.5,0.0,Feb-14,223.11,May-16,1.0,1
1069030,1303473,16425,16425,16425.0, 36 months,14.27%,563.53,C,C2,4 years,RENT,44544.0,Source Verified,Dec-11,debt_consolidation,921xx,CA,22.71,0,Oct-02,1,,,10,0,15747,83.40%,18,18174.82881,18174.83,16425.0,1749.83,0.0,0.0,0.0,Nov-12,13108.71,Jul-15,0.0,0
1068906,1303528,8200,8200,8200.0, 60 months,21.28%,223.14,F,F2,4 years,RENT,75000.0,Source Verified,Dec-11,small_business,912xx,CA,12.48,0,Jan-00,3,,,6,0,9012,73.90%,11,4173.57,4173.57,1525.83,2265.85,0.0,381.89,3.6,Jun-13,223.14,Oct-13,0.0,1
1069073,1303718,15000,15000,15000.0, 36 months,14.65%,517.42,C,C3,2 years,OWN,61000.0,Verified,Dec-11,credit_card,325xx,FL,11.88,0,Jun-04,1,,,8,0,19397,79.50%,18,18565.14804,18565.15,15000.0,3565.15,0.0,0.0,0.0,Sep-14,2533.38,May-16,0.0,0
1069043,1303486,20975,13575,13550.0, 60 months,17.58%,341.63,D,D4,5 years,MORTGAGE,44000.0,Verified,Dec-11,credit_card,300xx,GA,18.79,0,Apr-00,0,,105.0,13,1,20657,79.40%,21,18112.46087,18079.1,13575.0,4537.46,0.0,0.0,0.0,Apr-14,9245.21,Apr-14,1.0,0
1060981,1292558,6400,6400,6400.0, 36 months,16.77%,227.45,D,D2,5 years,RENT,75000.0,Not Verified,Dec-11,debt_consolidation,923xx,CA,20.22,0,Dec-94,0,48.0,,9,0,7159,67.50%,27,4776.45,4776.45,3334.25,1431.91,0.0,10.29,0.0,Oct-13,227.45,May-16,0.0,1
1069071,1303716,3000,3000,3000.0, 36 months,13.49%,101.8,C,C1,1 year,RENT,33600.0,Not Verified,Dec-11,debt_consolidation,352xx,AL,18.11,0,Oct-05,0,41.0,,4,0,2745,83.20%,7,3247.889478,3247.89,3000.0,247.89,0.0,0.0,0.0,Sep-12,2539.58,May-16,0.0,0
1069070,1299004,12000,12000,12000.0, 36 months,16.77%,426.47,D,D2,3 years,RENT,50000.0,Not Verified,Dec-11,credit_card,013xx,MA,20.57,0,Sep-05,1,,,13,0,11443,97%,19,15352.47999,15352.48,12000.0,3352.48,0.0,0.0,0.0,Jan-15,441.52,Dec-14,0.0,0
1068893,1303514,14400,14400,14400.0, 36 months,8.90%,457.25,A,A5,< 1 year,OWN,150000.0,Source Verified,Dec-11,debt_consolidation,146xx,NY,14.85,0,Dec-94,0,,,12,0,63864,55%,38,16460.85,16460.85,14400.0,2060.85,0.0,0.0,0.0,Jan-15,464.02,Dec-14,0.0,0
1068882,1303303,12000,12000,12000.0, 36 months,14.65%,413.94,C,C3,10+ years,RENT,90000.0,Not Verified,Dec-11,debt_consolidation,074xx,NJ,16.56,0,Dec-84,2,40.0,,12,0,17116,78.50%,36,12699.71201,12699.71,12000.0,699.71,0.0,0.0,0.0,Jun-12,11046.6,May-16,0.0,0
1069039,1303482,11000,11000,11000.0, 36 months,13.49%,373.24,C,C1,10+ years,MORTGAGE,48000.0,Verified,Dec-11,debt_consolidation,786xx,TX,21.82,0,Dec-99,3,74.0,,15,0,11382,65%,29,13418.28,13418.28,11000.0,2418.28,0.0,0.0,0.0,Oct-14,1491.29,Oct-14,0.0,0
1068416,1302799,7250,7200,7175.0, 60 months,21.67%,197.51,F,F3,< 1 year,RENT,75000.0,Verified,Dec-11,debt_consolidation,937xx,CA,24.82,0,May-00,2,,97.0,9,1,21706,91.20%,19,8204.774089,8176.29,7200.0,1004.77,0.0,0.0,0.0,Sep-12,6824.7,Apr-16,1.0,0
1068997,1303437,15000,15000,15000.0, 36 months,7.90%,469.36,A,A4,1 year,MORTGAGE,52000.0,Not Verified,Dec-11,small_business,799xx,TX,9.65,0,Nov-03,1,,,11,0,1616,6.70%,29,15557.68008,15557.68,15000.0,557.68,0.0,0.0,0.0,Aug-12,312.74,Mar-14,0.0,0
1048390,1279714,18000,18000,18000.0, 60 months,19.91%,475.99,E,E4,10+ years,MORTGAGE,65000.0,Not Verified,Dec-11,debt_consolidation,331xx,FL,6.81,0,Jun-89,0,25.0,,10,0,11745,77.80%,40,26034.66002,26034.66,18000.0,8010.86,23.80000006,0.0,0.0,Oct-14,10783.73,Oct-14,0.0,0
1068994,1303432,35000,22075,22050.0, 60 months,17.27%,551.84,D,D3,3 years,MORTGAGE,150000.0,Verified,Dec-11,home_improvement,115xx,NY,7.51,0,Jun-03,1,35.0,,11,0,7334,53.30%,31,28887.10007,28854.39,22075.0,6812.1,0.0,0.0,0.0,Feb-14,15660.22,Feb-14,0.0,0
1068475,1302869,10000,10000,10000.0, 36 months,14.27%,343.09,C,C2,2 years,RENT,68000.0,Source Verified,Dec-11,credit_card,191xx,PA,15.39,0,Jul-06,1,,,9,0,11303,81.30%,15,10672.89443,10672.89,10000.0,672.89,0.0,0.0,0.0,Jul-12,8962.31,Feb-13,0.0,0
1068989,1282013,11800,11800,11800.0, 36 months,12.69%,395.83,B,B5,6 years,RENT,42000.0,Source Verified,Dec-11,credit_card,114xx,NY,9.86,0,Oct-96,0,,,4,0,8940,74.80%,13,14249.84001,14249.84,11800.0,2449.84,0.0,0.0,0.0,Jan-15,419.36,Dec-14,0.0,0
1068967,1303403,4500,4500,4500.0, 36 months,6.03%,136.96,A,A1,4 years,RENT,53000.0,Source Verified,Dec-11,major_purchase,908xx,CA,4.44,0,Oct-00,0,,,7,0,8630,13.90%,17,4930.555891,4930.56,4500.0,430.56,0.0,0.0,0.0,Jan-15,138.95,Dec-14,0.0,0
1068744,1303379,7000,7000,7000.0, 36 months,12.69%,234.82,B,B5,10+ years,RENT,35000.0,Source Verified,Dec-11,credit_card,902xx,CA,11.35,0,May-00,2,53.0,,10,0,7649,82.30%,26,8453.260001,8453.26,7000.0,1453.26,0.0,0.0,0.0,Jan-15,248.19,Nov-15,0.0,0
1045509,1276120,9200,9200,9200.0, 36 months,12.42%,307.43,B,B4,2 years,RENT,60000.0,Source Verified,Dec-11,debt_consolidation,902xx,CA,19.96,0,Oct-02,3,,,8,0,23299,78.70%,19,10482.84389,10482.84,9200.0,1282.84,0.0,0.0,0.0,Jul-13,365.48,Jul-14,0.0,0
